agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c17,10,0.0012282509822398003,0.0014306691834940083,0.0004524173198054438,0.0,0.0040899794548749,0.0010224948637187,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,373.0,0.0533187,8.20911,,,0.01,64.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,2,0,1000000,2,True,2
DRMAgent,sweep_c94,10,0.00122699383646247,0.0019756477721588894,0.0006247546814259484,0.0,0.0040899794548749,0.0,0.0,0.0030674845911561753,DRMAgent,0.99,,,,16.0,113.0,0.0497051,14.1065,,,0.01,8192.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,3,0,1000000,1,True,1024
DRMAgent,sweep_c84,10,0.0010237520094960601,0.0014470148894391878,0.0004575862858804561,0.0,0.0040899794548749,0.0,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,149.0,4.66752e-05,8.65233,,,0.01,256.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,6,0,1000000,2,True,1024
DRMAgent,sweep_c90,10,0.00102375200949606,0.0014470148894391878,0.0004575862858804561,0.0,0.0040899794548749,0.0,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,22.0,4.84905e-06,14.9953,,,0.01,64.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,9,0,1000000,8,True,4096
DRMAgent,sweep_c55,10,0.00102291391231117,0.0017381815117285349,0.0005496612563856847,0.0,0.0040899794548749,0.0,0.0,0.001536885160021425,DRMAgent,0.99,,,,16.0,34.0,0.000818906,14.1499,,,0.01,1024.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,8,0,1000000,64,True,1
DRMAgent,sweep_c78,10,0.00081925303675231,0.001057651814348257,0.0003344588704750047,0.0,0.0020491802133619,0.0,0.0,0.002048132591880775,DRMAgent,0.99,,,,16.0,237.0,0.00534443,7.30099,,,0.01,128.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,9,0,1000000,1,True,512
DRMAgent,sweep_c9,10,0.0008188339881598702,0.001430668842546833,0.00045241721198848025,0.0,0.0040899794548749,0.0,0.0,0.001536885160021425,DRMAgent,0.99,,,,16.0,95.0,1.31218e-05,0.591289,,,0.01,256.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,7,0,1000000,2,True,1024
DRMAgent,sweep_c66,10,0.0008188339881598702,0.001430668842546833,0.00045241721198848025,0.0,0.0040899794548749,0.0,0.0,0.001536885160021425,DRMAgent,0.99,,,,16.0,255.0,0.267059,10.8659,,,0.01,2048.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,9,0,1000000,2,True,32
DRMAgent,sweep_c13,10,0.0006147540640085699,0.000989848083088805,0.00031301744801122216,0.0,0.0020491802133619,0.0,0.0,0.001536885160021425,DRMAgent,0.99,,,,16.0,98.0,2.72058e-05,1.8453,,,0.01,1024.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,1,0,1000000,4,True,64
DRMAgent,sweep_c82,10,0.00020449897274374,0.0006466825330349113,0.00020449897274374,0.0,0.0020449897274374,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,53.0,0.0255245,4.32261,,,0.01,2048.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,6,0,1000000,2,True,2
DRMAgent,sweep_c43,10,0.00020449897274374,0.0006466825330349113,0.00020449897274374,0.0,0.0020449897274374,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,43.0,0.00014938,8.8199,,,0.01,1024.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,3,0,1000000,8,True,2
DRMAgent,sweep_c45,10,0.00020449897274374,0.0006466825330349113,0.00020449897274374,0.0,0.0020449897274374,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,204.0,3.26605e-05,14.9559,,,0.01,64.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,9,0,1000000,4,True,8
DRMAgent,sweep_c16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,60.0,1.63993e-06,2.99941,,,0.01,64.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,4,0,1000000,2,True,8
DRMAgent,sweep_c69,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,73.0,1.27007e-05,7.20274,,,0.01,128.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,4,0,1000000,1,True,32
DRMAgent,sweep_c73,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRMAgent,0.99,,,,16.0,11.0,0.000211176,2.0671,,,0.01,128.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,0,0,1000000,64,True,512
