agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c97,10,0.05641147978603837,0.011227731289496327,0.0035505203831147744,0.0383064523339271,0.0738522931933403,0.0571690127253532,0.05025141034275287,0.0603929618373513,DQNAgent,,0.99,12521.0,0.0231497,0.874461,,,0.0910755,11.1679,,,256.0,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,6,0,1000000,28,True,1024
DQNAgent,sweep_c23,10,0.052293296903371776,0.015043608058685239,0.004757206569230933,0.036363635212183,0.0811881199479103,0.04631860740482805,0.041286110877990674,0.0634352536872029,DQNAgent,,0.99,396708.0,0.0104981,0.302375,,,0.000291375,14.7056,,,64.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,1,0,1000000,8,True,32
RMaxAgent,sweep_c81,10,0.049412486329674675,0.01580643449770091,0.004998433469899438,0.0263691674917936,0.0828402340412139,0.050000000745058,0.04465887509286402,0.0540000014007091,RMaxAgent,1.52041e-09,0.99,,,,,119.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,3,0,1000000,1,True,0
DQNAgent,sweep_c13,10,0.0480879290029406,0.017727930846076965,0.00560606396755591,0.0223577227443456,0.0719999969005584,0.0474728997796773,0.0389093356207013,0.06362626515328879,DQNAgent,,0.99,12944.0,0.242112,0.860523,,,1.75006e-05,6.44172,,,16384.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,7,0,1000000,5,True,4
DQNAgent,sweep_c14,10,0.045230309292674034,0.007179947796717312,0.002270498851873433,0.0362903214991092,0.0578842312097549,0.0442211497575044,0.0404040403664112,0.05008871015161275,DQNAgent,,0.99,265050.0,0.0184651,0.545206,,,0.00658963,0.686743,,,8192.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,1024,1,6,0,1000000,13,True,64
DQNAgent,sweep_c4,10,0.044358149170875494,0.01439289550881254,0.004551433193265569,0.0283975657075643,0.0678642690181732,0.04032258130609985,0.0342741943895816,0.0510724354535341,DQNAgent,,0.99,298539.0,0.0191527,0.90933,,,8.3121e-05,3.65538,,,512.0,4096,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,4,0,1000000,6,True,64
DQNAgent,sweep_c24,10,0.04384332299232479,0.008898626605436825,0.002813992812055285,0.0343434326350688,0.0601202398538589,0.0403225794434547,0.038848240859806524,0.043672193773090826,DQNAgent,,0.99,448709.0,0.0140598,0.984961,,,4.49535e-05,9.45182,,,4096.0,1024,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,3,0,1000000,29,True,32
DQNAgent,sweep_c94,10,0.043707667663693384,0.01624689540327159,0.005137719438085808,0.0202839765697717,0.0790513828396797,0.0410803202539682,0.03542510047554963,0.04959919769316905,DQNAgent,,0.99,431417.0,0.0303758,0.961874,,,1.18425e-06,5.23943,,,64.0,65536,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,64,1,4,0,1000000,14,True,128
DQNAgent,sweep_c88,10,0.041225039586424775,0.011985727937377514,0.0037902199697224938,0.0242914985865354,0.0563380271196365,0.04126810096204275,0.030916639138013048,0.050175653770565924,DQNAgent,,0.99,268635.0,0.276255,0.576907,,,5.83924e-06,2.12015,,,128.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,1,0,1000000,37,True,16
RMaxAgent,sweep_c9,10,0.040937726013362354,0.013834400927126424,0.004374821699366461,0.0183299388736486,0.0634920671582222,0.0362903214991092,0.03281097393482915,0.049173650331795174,RMaxAgent,1.23551e-06,0.99,,,,,98.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,5,0,1000000,1,True,0
